id	num	neg_score	neg_p_value	neg_fdr	neg_rank	neg_goodsgrna	neg_lfc	pos_score	pos_p_value	pos_fdr	pos_rank	pos_goodsgrna	pos_lfc
1700091H14Rik	2	0.50172	0.50442	1	12241	1	-0.14737	0.77684	0.7763	1	16110	0	-0.14737
Ctsq	4	0.079958	0.178	0.998397	3581	1	0.0025343	0.77687	0.78062	1	16111	1	0.0025343
Pex2	4	0.18334	0.31867	1	6385	2	-0.030079	0.77697	0.78071	1	16112	1	-0.030079
Fcgrt	4	0.012319	0.040876	0.913702	887	3	-0.16462	0.77705	0.78077	1	16113	1	-0.16462
Ccdc142	4	0.91769	0.91752	1	19058	0	0.035235	0.77708	0.7808	1	16114	1	0.035235
Oprd1	4	0.19005	0.32571	1	6548	2	-0.052045	0.77721	0.78091	1	16115	1	-0.052045
Nf1	4	0.11808	0.24667	1	4915	2	-0.063417	0.77729	0.78099	1	16116	1	-0.063417
Olfr732	4	0.40676	0.55202	1	10981	2	-0.018417	0.77733	0.78101	1	16117	1	-0.018417
NO_SITE_410	1	0.2226	0.22227	1	7203	1	-0.13495	0.7774	0.77775	1	16118	0	-0.13495
Hmgn1	4	0.040784	0.10227	0.959402	2148	3	-0.14033	0.77741	0.78109	1	16119	1	-0.14033
Mixl1	4	0.027351	0.074842	0.952072	1588	3	-0.13556	0.77743	0.78111	1	16120	1	-0.13556
Zhx1	4	0.18639	0.32187	1	6459	2	-0.054928	0.77746	0.78113	1	16121	1	-0.054928
Lmntd1	4	0.06074	0.1414	0.988137	2879	2	-0.1086	0.77747	0.78114	1	16122	1	-0.1086
Tsen2	4	0.82683	0.82641	1	17111	0	-0.024884	0.77749	0.78115	1	16123	1	-0.024884
Olfr1511	3	0.5638	0.58634	1	12962	1	0.019311	0.77756	0.77762	1	16124	0	0.019311
Ube2n	4	0.10803	0.22905	1	4552	2	-0.093094	0.77772	0.78133	1	16125	1	-0.093094
Vmn1r68	4	0.30012	0.44046	1	8803	2	-0.0069844	0.77773	0.78135	1	16126	1	-0.0069844
Rai14	4	0.95257	0.95242	1	19866	0	0.021354	0.77777	0.78137	1	16127	1	0.021354
Arntl	4	0.013381	0.0441	0.915175	957	3	-0.15143	0.77783	0.78144	1	16128	1	-0.15143
Rnf6	4	0.10561	0.22479	1	4470	3	-0.10154	0.77795	0.78153	1	16129	1	-0.10154
Zfp219	4	0.034952	0.09048	0.956667	1906	3	-0.1355	0.77796	0.78153	1	16130	1	-0.1355
NO_SITE_124	1	0.22201	0.2217	1	7194	1	-0.13817	0.77799	0.77833	1	16131	0	-0.13817
Lrch1	4	0.33409	0.47585	1	9480	1	-0.027255	0.77804	0.7816	1	16132	1	-0.027255
Gm14743	4	0.02202	0.063571	0.939839	1372	3	-0.1854	0.77816	0.78171	1	16133	1	-0.1854
Rbpms	4	0.73742	0.74752	1	15392	1	-0.0020435	0.77825	0.78178	1	16134	1	-0.0020435
Dis3	4	0.34184	0.48402	1	9642	2	-0.10002	0.77842	0.78192	1	16135	1	-0.10002
Bend6	4	0.062349	0.14452	0.989234	2947	3	-0.076215	0.77848	0.78198	1	16136	1	-0.076215
Lrrc69	4	0.40542	0.55064	1	10952	2	-0.04196	0.77855	0.78203	1	16137	1	-0.04196
Ttc21a	4	0.21158	0.34829	1	6991	2	-0.036678	0.77861	0.78208	1	16138	1	-0.036678
Gtf3c6	4	0.41079	0.5562	1	11080	2	-0.02925	0.77863	0.78209	1	16139	1	-0.02925
Star	4	0.0077287	0.026515	0.850702	629	2	-0.082269	0.77864	0.78211	1	16140	1	-0.082269
Gps1	4	0.39461	0.5393	1	10720	1	-0.02231	0.77879	0.78221	1	16141	1	-0.02231
Gm11487	6	0.10753	0.26169	1	4538	2	0.012618	0.7788	0.83691	1	16142	1	0.012618
Chrnb1	4	0.67168	0.7014	1	14370	1	0.055126	0.77881	0.78223	1	16143	1	0.055126
Ddc	4	0.34129	0.48344	1	9627	1	-0.020424	0.77886	0.78227	1	16144	1	-0.020424
Olfr1061	4	0.39024	0.53469	1	10626	2	-0.057738	0.77889	0.78229	1	16145	1	-0.057738
Tmem91	4	0.17395	0.30885	1	6178	2	-0.039131	0.7789	0.7823	1	16146	1	-0.039131
Rpl5	3	0.34519	0.44531	1	9715	1	0.06782	0.77894	0.77895	1	16147	0	0.06782
Ctr9	4	0.079523	0.17726	0.998397	3568	2	-0.19088	0.77903	0.78241	1	16148	1	-0.19088
H2bc4	2	0.62358	0.62331	1	13708	0	-0.029582	0.77906	0.77852	1	16149	0	-0.029582
Taf15	4	0.83393	0.83346	1	17265	0	0.02357	0.7791	0.78248	1	16150	1	0.02357
Ctdp1	4	0.85126	0.85079	1	17650	0	-0.045771	0.77918	0.78255	1	16151	1	-0.045771
Eme1	4	0.81889	0.81852	1	16934	0	0.012459	0.77933	0.78265	1	16152	1	0.012459
Ttc23	4	0.17838	0.31345	1	6289	2	-0.062986	0.77941	0.78272	1	16153	1	-0.062986
Zc3hav1	4	0.024757	0.069426	0.947751	1479	3	-0.11732	0.77942	0.78273	1	16154	1	-0.11732
Atp6v1b1	4	0.20823	0.3448	1	6935	2	-0.02551	0.77944	0.78274	1	16155	1	-0.02551
Pcdhga4	4	0.079016	0.17631	0.998397	3547	2	-0.066628	0.77946	0.78276	1	16156	1	-0.066628
NO_SITE_230	1	0.22052	0.22018	1	7170	1	-0.11067	0.77948	0.77981	1	16157	0	-0.11067
Crabp1	4	0.81138	0.81113	1	16771	1	-0.0235	0.77958	0.78288	1	16158	1	-0.0235
