Gene1	Gene2	std_gene1	std_gene2
PATJ	Crb3	PATJ	Crb3
YWHAZ	PARD3	YWHAZ	PARD3
YWHAZ	PRKCI	YWHAZ	PRKCI
YWHAZ	PARD6A	YWHAZ	PARD6A
YWHAZ	Crb3	YWHAZ	Crb3
PARD3	PRKCI	PARD3	PRKCI
PARD3	PARD6A	PARD3	PARD6A
PARD3	Crb3	PARD3	Crb3
PRKCI	PARD6A	PRKCI	PARD6A
PRKCI	Crb3	PRKCI	Crb3
PARD6A	Crb3	PARD6A	Crb3
SNAP23	STX1A	SNAP23	STX1A
MPP5	YWHAZ	MPP5	YWHAZ
MPP5	PARD3	MPP5	PARD3
MPP5	PRKCI	MPP5	PRKCI
YWHAZ	PARD3	YWHAZ	PARD3
YWHAZ	PRKCI	YWHAZ	PRKCI
PARD3	PRKCI	PARD3	PRKCI
SMARCA1	CECR2	SMARCA1	CECR2
MPP5	PARD3	MPP5	PARD3
MPP5	PARD6A	MPP5	PARD6A
PARD3	PARD6A	PARD3	PARD6A
MPP5	PATJ	MPP5	PATJ
MPP5	PARD3	MPP5	PARD3
PATJ	PARD3	PATJ	PARD3
SMARCA5	RSF1	SMARCA5	RSF1
SMARCA1	RSF1	SMARCA1	RSF1
HNRNPC	TOP2A	HNRNPC	TOP2A
HNRNPC	DHX9	HNRNPC	DHX9
HNRNPC	SSRP1	HNRNPC	SSRP1
HNRNPC	PRPF8	HNRNPC	PRPF8
HNRNPC	SRPK1	HNRNPC	SRPK1
HNRNPC	DDX21	HNRNPC	DDX21
TOP2A	DHX9	TOP2A	DHX9
TOP2A	SSRP1	TOP2A	SSRP1
TOP2A	PRPF8	TOP2A	PRPF8
TOP2A	SRPK1	TOP2A	SRPK1
TOP2A	DDX21	TOP2A	DDX21
DHX9	SSRP1	DHX9	SSRP1
DHX9	PRPF8	DHX9	PRPF8
DHX9	SRPK1	DHX9	SRPK1
DHX9	DDX21	DHX9	DDX21
SSRP1	PRPF8	SSRP1	PRPF8
SSRP1	SRPK1	SSRP1	SRPK1
SSRP1	DDX21	SSRP1	DDX21
PRPF8	SRPK1	PRPF8	SRPK1
PRPF8	DDX21	PRPF8	DDX21
SRPK1	DDX21	SRPK1	DDX21
SMARCA5	BAZ1A	SMARCA5	BAZ1A
SCRIB	LLGL2	SCRIB	LLGL2
CENPC	CENPU	CENPC	CENPU
CENPC	CENPT	CENPC	CENPT
CENPC	CENPN	CENPC	CENPN
CENPC	CENPH	CENPC	CENPH
CENPC	CENPM	CENPC	CENPM
CENPU	CENPT	CENPU	CENPT
CENPU	CENPN	CENPU	CENPN
CENPU	CENPH	CENPU	CENPH
CENPU	CENPM	CENPU	CENPM
CENPT	CENPN	CENPT	CENPN
CENPT	CENPH	CENPT	CENPH
CENPT	CENPM	CENPT	CENPM
CENPN	CENPH	CENPN	CENPH
CENPN	CENPM	CENPN	CENPM
CENPH	CENPM	CENPH	CENPM
SCRIB	VANGL2	SCRIB	VANGL2
SMARCA5	CENPB	SMARCA5	CENPB
SMARCA5	HSPA5	SMARCA5	HSPA5
SMARCA5	HSPA8	SMARCA5	HSPA8
SMARCA5	FBL	SMARCA5	FBL
SMARCA5	BMI1	SMARCA5	BMI1
SMARCA5	CENPA	SMARCA5	CENPA
SMARCA5	KIF23	SMARCA5	KIF23
SMARCA5	CENPC	SMARCA5	CENPC
SMARCA5	RING1	SMARCA5	RING1
SMARCA5	SSRP1	SMARCA5	SSRP1
SMARCA5	CBX3	SMARCA5	CBX3
SMARCA5	CUL4A	SMARCA5	CUL4A
SMARCA5	WTAP	SMARCA5	WTAP
SMARCA5	DDB1	SMARCA5	DDB1
SMARCA5	COBLL1	SMARCA5	COBLL1
SMARCA5	ZC3H13	SMARCA5	ZC3H13
SMARCA5	KIAA1429	SMARCA5	VIRMA
SMARCA5	PLPPR3	SMARCA5	PLPPR3
SMARCA5	CENPU	SMARCA5	CENPU
SMARCA5	CENPL	SMARCA5	CENPL
SMARCA5	NUP93	SMARCA5	NUP93
SMARCA5	SHCBP1	SMARCA5	SHCBP1
SMARCA5	DHX38	SMARCA5	DHX38
SMARCA5	CENPI	SMARCA5	CENPI
SMARCA5	ZFP91	SMARCA5	ZFP91
SMARCA5	RSF1	SMARCA5	RSF1
SMARCA5	RNF2	SMARCA5	RNF2
SMARCA5	CENPK	SMARCA5	CENPK
SMARCA5	CENPO	SMARCA5	CENPO
SMARCA5	SRRT	SMARCA5	SRRT
SMARCA5	WDR11	SMARCA5	WDR11
SMARCA5	RACGAP1	SMARCA5	RACGAP1
SMARCA5	CENPH	SMARCA5	CENPH
SMARCA5	CBX8	SMARCA5	CBX8
SMARCA5	CENPM	SMARCA5	CENPM
SMARCA5	SUPT16H	SMARCA5	SUPT16H
CENPB	HSPA5	CENPB	HSPA5
CENPB	HSPA8	CENPB	HSPA8
CENPB	FBL	CENPB	FBL
CENPB	BMI1	CENPB	BMI1
CENPB	CENPA	CENPB	CENPA
CENPB	KIF23	CENPB	KIF23
CENPB	CENPC	CENPB	CENPC
CENPB	RING1	CENPB	RING1
CENPB	SSRP1	CENPB	SSRP1
CENPB	CBX3	CENPB	CBX3
CENPB	CUL4A	CENPB	CUL4A
CENPB	WTAP	CENPB	WTAP
CENPB	DDB1	CENPB	DDB1
CENPB	COBLL1	CENPB	COBLL1
CENPB	ZC3H13	CENPB	ZC3H13
CENPB	KIAA1429	CENPB	VIRMA
CENPB	PLPPR3	CENPB	PLPPR3
CENPB	CENPU	CENPB	CENPU
CENPB	CENPL	CENPB	CENPL
CENPB	NUP93	CENPB	NUP93
CENPB	SHCBP1	CENPB	SHCBP1
CENPB	DHX38	CENPB	DHX38
CENPB	CENPI	CENPB	CENPI
CENPB	ZFP91	CENPB	ZFP91
CENPB	RSF1	CENPB	RSF1
CENPB	RNF2	CENPB	RNF2
CENPB	CENPK	CENPB	CENPK
CENPB	CENPO	CENPB	CENPO
CENPB	SRRT	CENPB	SRRT
CENPB	WDR11	CENPB	WDR11
CENPB	RACGAP1	CENPB	RACGAP1
CENPB	CENPH	CENPB	CENPH
CENPB	CBX8	CENPB	CBX8
CENPB	CENPM	CENPB	CENPM
CENPB	SUPT16H	CENPB	SUPT16H
HSPA5	HSPA8	HSPA5	HSPA8
HSPA5	FBL	HSPA5	FBL
HSPA5	BMI1	HSPA5	BMI1
HSPA5	CENPA	HSPA5	CENPA
HSPA5	KIF23	HSPA5	KIF23
HSPA5	CENPC	HSPA5	CENPC
HSPA5	RING1	HSPA5	RING1
HSPA5	SSRP1	HSPA5	SSRP1
HSPA5	CBX3	HSPA5	CBX3
HSPA5	CUL4A	HSPA5	CUL4A
HSPA5	WTAP	HSPA5	WTAP
HSPA5	DDB1	HSPA5	DDB1
HSPA5	COBLL1	HSPA5	COBLL1
HSPA5	ZC3H13	HSPA5	ZC3H13
HSPA5	KIAA1429	HSPA5	VIRMA
HSPA5	PLPPR3	HSPA5	PLPPR3
HSPA5	CENPU	HSPA5	CENPU
HSPA5	CENPL	HSPA5	CENPL
HSPA5	NUP93	HSPA5	NUP93
HSPA5	SHCBP1	HSPA5	SHCBP1
HSPA5	DHX38	HSPA5	DHX38
HSPA5	CENPI	HSPA5	CENPI
HSPA5	ZFP91	HSPA5	ZFP91
HSPA5	RSF1	HSPA5	RSF1
HSPA5	RNF2	HSPA5	RNF2
HSPA5	CENPK	HSPA5	CENPK
HSPA5	CENPO	HSPA5	CENPO
HSPA5	SRRT	HSPA5	SRRT
HSPA5	WDR11	HSPA5	WDR11
HSPA5	RACGAP1	HSPA5	RACGAP1
HSPA5	CENPH	HSPA5	CENPH
HSPA5	CBX8	HSPA5	CBX8
HSPA5	CENPM	HSPA5	CENPM
HSPA5	SUPT16H	HSPA5	SUPT16H
HSPA8	FBL	HSPA8	FBL
HSPA8	BMI1	HSPA8	BMI1
HSPA8	CENPA	HSPA8	CENPA
HSPA8	KIF23	HSPA8	KIF23
HSPA8	CENPC	HSPA8	CENPC
HSPA8	RING1	HSPA8	RING1
HSPA8	SSRP1	HSPA8	SSRP1
HSPA8	CBX3	HSPA8	CBX3
HSPA8	CUL4A	HSPA8	CUL4A
HSPA8	WTAP	HSPA8	WTAP
HSPA8	DDB1	HSPA8	DDB1
HSPA8	COBLL1	HSPA8	COBLL1
HSPA8	ZC3H13	HSPA8	ZC3H13
HSPA8	KIAA1429	HSPA8	VIRMA
HSPA8	PLPPR3	HSPA8	PLPPR3
HSPA8	CENPU	HSPA8	CENPU
HSPA8	CENPL	HSPA8	CENPL
HSPA8	NUP93	HSPA8	NUP93
HSPA8	SHCBP1	HSPA8	SHCBP1
HSPA8	DHX38	HSPA8	DHX38
HSPA8	CENPI	HSPA8	CENPI
HSPA8	ZFP91	HSPA8	ZFP91
HSPA8	RSF1	HSPA8	RSF1
HSPA8	RNF2	HSPA8	RNF2
HSPA8	CENPK	HSPA8	CENPK
HSPA8	CENPO	HSPA8	CENPO
HSPA8	SRRT	HSPA8	SRRT
HSPA8	WDR11	HSPA8	WDR11
HSPA8	RACGAP1	HSPA8	RACGAP1
HSPA8	CENPH	HSPA8	CENPH
HSPA8	CBX8	HSPA8	CBX8
HSPA8	CENPM	HSPA8	CENPM
HSPA8	SUPT16H	HSPA8	SUPT16H
FBL	BMI1	FBL	BMI1
FBL	CENPA	FBL	CENPA
FBL	KIF23	FBL	KIF23
FBL	CENPC	FBL	CENPC
FBL	RING1	FBL	RING1
FBL	SSRP1	FBL	SSRP1
FBL	CBX3	FBL	CBX3
FBL	CUL4A	FBL	CUL4A
FBL	WTAP	FBL	WTAP
FBL	DDB1	FBL	DDB1
FBL	COBLL1	FBL	COBLL1
FBL	ZC3H13	FBL	ZC3H13
FBL	KIAA1429	FBL	VIRMA
FBL	PLPPR3	FBL	PLPPR3
FBL	CENPU	FBL	CENPU
FBL	CENPL	FBL	CENPL
FBL	NUP93	FBL	NUP93
FBL	SHCBP1	FBL	SHCBP1
FBL	DHX38	FBL	DHX38
FBL	CENPI	FBL	CENPI
FBL	ZFP91	FBL	ZFP91
FBL	RSF1	FBL	RSF1
FBL	RNF2	FBL	RNF2
FBL	CENPK	FBL	CENPK
FBL	CENPO	FBL	CENPO
FBL	SRRT	FBL	SRRT
FBL	WDR11	FBL	WDR11
FBL	RACGAP1	FBL	RACGAP1
FBL	CENPH	FBL	CENPH
FBL	CBX8	FBL	CBX8
FBL	CENPM	FBL	CENPM
FBL	SUPT16H	FBL	SUPT16H
BMI1	CENPA	BMI1	CENPA
BMI1	KIF23	BMI1	KIF23
BMI1	CENPC	BMI1	CENPC
BMI1	RING1	BMI1	RING1
BMI1	SSRP1	BMI1	SSRP1
BMI1	CBX3	BMI1	CBX3
BMI1	CUL4A	BMI1	CUL4A
BMI1	WTAP	BMI1	WTAP
BMI1	DDB1	BMI1	DDB1
BMI1	COBLL1	BMI1	COBLL1
BMI1	ZC3H13	BMI1	ZC3H13
BMI1	KIAA1429	BMI1	VIRMA
BMI1	PLPPR3	BMI1	PLPPR3
BMI1	CENPU	BMI1	CENPU
BMI1	CENPL	BMI1	CENPL
BMI1	NUP93	BMI1	NUP93
BMI1	SHCBP1	BMI1	SHCBP1
BMI1	DHX38	BMI1	DHX38
BMI1	CENPI	BMI1	CENPI
BMI1	ZFP91	BMI1	ZFP91
BMI1	RSF1	BMI1	RSF1
BMI1	RNF2	BMI1	RNF2
BMI1	CENPK	BMI1	CENPK
BMI1	CENPO	BMI1	CENPO
BMI1	SRRT	BMI1	SRRT
BMI1	WDR11	BMI1	WDR11
BMI1	RACGAP1	BMI1	RACGAP1
BMI1	CENPH	BMI1	CENPH
BMI1	CBX8	BMI1	CBX8
BMI1	CENPM	BMI1	CENPM
BMI1	SUPT16H	BMI1	SUPT16H
CENPA	KIF23	CENPA	KIF23
CENPA	CENPC	CENPA	CENPC
CENPA	RING1	CENPA	RING1
CENPA	SSRP1	CENPA	SSRP1
CENPA	CBX3	CENPA	CBX3
CENPA	CUL4A	CENPA	CUL4A
CENPA	WTAP	CENPA	WTAP
CENPA	DDB1	CENPA	DDB1
CENPA	COBLL1	CENPA	COBLL1
CENPA	ZC3H13	CENPA	ZC3H13
CENPA	KIAA1429	CENPA	VIRMA
CENPA	PLPPR3	CENPA	PLPPR3
CENPA	CENPU	CENPA	CENPU
CENPA	CENPL	CENPA	CENPL
CENPA	NUP93	CENPA	NUP93
CENPA	SHCBP1	CENPA	SHCBP1
CENPA	DHX38	CENPA	DHX38
CENPA	CENPI	CENPA	CENPI
CENPA	ZFP91	CENPA	ZFP91
CENPA	RSF1	CENPA	RSF1
CENPA	RNF2	CENPA	RNF2
CENPA	CENPK	CENPA	CENPK
CENPA	CENPO	CENPA	CENPO
CENPA	SRRT	CENPA	SRRT
CENPA	WDR11	CENPA	WDR11
CENPA	RACGAP1	CENPA	RACGAP1
CENPA	CENPH	CENPA	CENPH
CENPA	CBX8	CENPA	CBX8
CENPA	CENPM	CENPA	CENPM
CENPA	SUPT16H	CENPA	SUPT16H
KIF23	CENPC	KIF23	CENPC
KIF23	RING1	KIF23	RING1
KIF23	SSRP1	KIF23	SSRP1
KIF23	CBX3	KIF23	CBX3
KIF23	CUL4A	KIF23	CUL4A
KIF23	WTAP	KIF23	WTAP
KIF23	DDB1	KIF23	DDB1
KIF23	COBLL1	KIF23	COBLL1
KIF23	ZC3H13	KIF23	ZC3H13
KIF23	KIAA1429	KIF23	VIRMA
KIF23	PLPPR3	KIF23	PLPPR3
KIF23	CENPU	KIF23	CENPU
KIF23	CENPL	KIF23	CENPL
KIF23	NUP93	KIF23	NUP93
KIF23	SHCBP1	KIF23	SHCBP1
KIF23	DHX38	KIF23	DHX38
KIF23	CENPI	KIF23	CENPI
KIF23	ZFP91	KIF23	ZFP91
KIF23	RSF1	KIF23	RSF1
KIF23	RNF2	KIF23	RNF2
KIF23	CENPK	KIF23	CENPK
KIF23	CENPO	KIF23	CENPO
KIF23	SRRT	KIF23	SRRT
KIF23	WDR11	KIF23	WDR11
KIF23	RACGAP1	KIF23	RACGAP1
KIF23	CENPH	KIF23	CENPH
KIF23	CBX8	KIF23	CBX8
KIF23	CENPM	KIF23	CENPM
KIF23	SUPT16H	KIF23	SUPT16H
CENPC	RING1	CENPC	RING1
CENPC	SSRP1	CENPC	SSRP1
CENPC	CBX3	CENPC	CBX3
CENPC	CUL4A	CENPC	CUL4A
CENPC	WTAP	CENPC	WTAP
CENPC	DDB1	CENPC	DDB1
CENPC	COBLL1	CENPC	COBLL1
CENPC	ZC3H13	CENPC	ZC3H13
CENPC	KIAA1429	CENPC	VIRMA
CENPC	PLPPR3	CENPC	PLPPR3
CENPC	CENPU	CENPC	CENPU
CENPC	CENPL	CENPC	CENPL
CENPC	NUP93	CENPC	NUP93
CENPC	SHCBP1	CENPC	SHCBP1
CENPC	DHX38	CENPC	DHX38
CENPC	CENPI	CENPC	CENPI
CENPC	ZFP91	CENPC	ZFP91
CENPC	RSF1	CENPC	RSF1
CENPC	RNF2	CENPC	RNF2
CENPC	CENPK	CENPC	CENPK
CENPC	CENPO	CENPC	CENPO
CENPC	SRRT	CENPC	SRRT
CENPC	WDR11	CENPC	WDR11
CENPC	RACGAP1	CENPC	RACGAP1
CENPC	CENPH	CENPC	CENPH
CENPC	CBX8	CENPC	CBX8
CENPC	CENPM	CENPC	CENPM
CENPC	SUPT16H	CENPC	SUPT16H
RING1	SSRP1	RING1	SSRP1
RING1	CBX3	RING1	CBX3
RING1	CUL4A	RING1	CUL4A
RING1	WTAP	RING1	WTAP
RING1	DDB1	RING1	DDB1
RING1	COBLL1	RING1	COBLL1
RING1	ZC3H13	RING1	ZC3H13
RING1	KIAA1429	RING1	VIRMA
RING1	PLPPR3	RING1	PLPPR3
RING1	CENPU	RING1	CENPU
RING1	CENPL	RING1	CENPL
RING1	NUP93	RING1	NUP93
RING1	SHCBP1	RING1	SHCBP1
RING1	DHX38	RING1	DHX38
RING1	CENPI	RING1	CENPI
RING1	ZFP91	RING1	ZFP91
RING1	RSF1	RING1	RSF1
RING1	RNF2	RING1	RNF2
RING1	CENPK	RING1	CENPK
RING1	CENPO	RING1	CENPO
RING1	SRRT	RING1	SRRT
RING1	WDR11	RING1	WDR11
RING1	RACGAP1	RING1	RACGAP1
RING1	CENPH	RING1	CENPH
RING1	CBX8	RING1	CBX8
RING1	CENPM	RING1	CENPM
RING1	SUPT16H	RING1	SUPT16H
SSRP1	CBX3	SSRP1	CBX3
SSRP1	CUL4A	SSRP1	CUL4A
SSRP1	WTAP	SSRP1	WTAP
SSRP1	DDB1	SSRP1	DDB1
SSRP1	COBLL1	SSRP1	COBLL1
SSRP1	ZC3H13	SSRP1	ZC3H13
SSRP1	KIAA1429	SSRP1	VIRMA
SSRP1	PLPPR3	SSRP1	PLPPR3
SSRP1	CENPU	SSRP1	CENPU
SSRP1	CENPL	SSRP1	CENPL
SSRP1	NUP93	SSRP1	NUP93
SSRP1	SHCBP1	SSRP1	SHCBP1
SSRP1	DHX38	SSRP1	DHX38
SSRP1	CENPI	SSRP1	CENPI
SSRP1	ZFP91	SSRP1	ZFP91
SSRP1	RSF1	SSRP1	RSF1
SSRP1	RNF2	SSRP1	RNF2
SSRP1	CENPK	SSRP1	CENPK
SSRP1	CENPO	SSRP1	CENPO
SSRP1	SRRT	SSRP1	SRRT
SSRP1	WDR11	SSRP1	WDR11
SSRP1	RACGAP1	SSRP1	RACGAP1
SSRP1	CENPH	SSRP1	CENPH
SSRP1	CBX8	SSRP1	CBX8
SSRP1	CENPM	SSRP1	CENPM
SSRP1	SUPT16H	SSRP1	SUPT16H
CBX3	CUL4A	CBX3	CUL4A
CBX3	WTAP	CBX3	WTAP
CBX3	DDB1	CBX3	DDB1
CBX3	COBLL1	CBX3	COBLL1
CBX3	ZC3H13	CBX3	ZC3H13
CBX3	KIAA1429	CBX3	VIRMA
CBX3	PLPPR3	CBX3	PLPPR3
CBX3	CENPU	CBX3	CENPU
CBX3	CENPL	CBX3	CENPL
CBX3	NUP93	CBX3	NUP93
CBX3	SHCBP1	CBX3	SHCBP1
CBX3	DHX38	CBX3	DHX38
CBX3	CENPI	CBX3	CENPI
CBX3	ZFP91	CBX3	ZFP91
CBX3	RSF1	CBX3	RSF1
CBX3	RNF2	CBX3	RNF2
CBX3	CENPK	CBX3	CENPK
CBX3	CENPO	CBX3	CENPO
CBX3	SRRT	CBX3	SRRT
CBX3	WDR11	CBX3	WDR11
CBX3	RACGAP1	CBX3	RACGAP1
CBX3	CENPH	CBX3	CENPH
CBX3	CBX8	CBX3	CBX8
CBX3	CENPM	CBX3	CENPM
CBX3	SUPT16H	CBX3	SUPT16H
CUL4A	WTAP	CUL4A	WTAP
CUL4A	DDB1	CUL4A	DDB1
CUL4A	COBLL1	CUL4A	COBLL1
CUL4A	ZC3H13	CUL4A	ZC3H13
CUL4A	KIAA1429	CUL4A	VIRMA
CUL4A	PLPPR3	CUL4A	PLPPR3
CUL4A	CENPU	CUL4A	CENPU
CUL4A	CENPL	CUL4A	CENPL
CUL4A	NUP93	CUL4A	NUP93
CUL4A	SHCBP1	CUL4A	SHCBP1
CUL4A	DHX38	CUL4A	DHX38
CUL4A	CENPI	CUL4A	CENPI
CUL4A	ZFP91	CUL4A	ZFP91
CUL4A	RSF1	CUL4A	RSF1
CUL4A	RNF2	CUL4A	RNF2
CUL4A	CENPK	CUL4A	CENPK
CUL4A	CENPO	CUL4A	CENPO
CUL4A	SRRT	CUL4A	SRRT
CUL4A	WDR11	CUL4A	WDR11
CUL4A	RACGAP1	CUL4A	RACGAP1
CUL4A	CENPH	CUL4A	CENPH
CUL4A	CBX8	CUL4A	CBX8
CUL4A	CENPM	CUL4A	CENPM
CUL4A	SUPT16H	CUL4A	SUPT16H
WTAP	DDB1	WTAP	DDB1
WTAP	COBLL1	WTAP	COBLL1
WTAP	ZC3H13	WTAP	ZC3H13
WTAP	KIAA1429	WTAP	VIRMA
WTAP	PLPPR3	WTAP	PLPPR3
WTAP	CENPU	WTAP	CENPU
WTAP	CENPL	WTAP	CENPL
WTAP	NUP93	WTAP	NUP93
WTAP	SHCBP1	WTAP	SHCBP1
WTAP	DHX38	WTAP	DHX38
WTAP	CENPI	WTAP	CENPI
WTAP	ZFP91	WTAP	ZFP91
WTAP	RSF1	WTAP	RSF1
WTAP	RNF2	WTAP	RNF2
WTAP	CENPK	WTAP	CENPK
WTAP	CENPO	WTAP	CENPO
WTAP	SRRT	WTAP	SRRT
WTAP	WDR11	WTAP	WDR11
WTAP	RACGAP1	WTAP	RACGAP1
WTAP	CENPH	WTAP	CENPH
WTAP	CBX8	WTAP	CBX8
WTAP	CENPM	WTAP	CENPM
WTAP	SUPT16H	WTAP	SUPT16H
DDB1	COBLL1	DDB1	COBLL1
DDB1	ZC3H13	DDB1	ZC3H13
DDB1	KIAA1429	DDB1	VIRMA
DDB1	PLPPR3	DDB1	PLPPR3
DDB1	CENPU	DDB1	CENPU
DDB1	CENPL	DDB1	CENPL
DDB1	NUP93	DDB1	NUP93
DDB1	SHCBP1	DDB1	SHCBP1
DDB1	DHX38	DDB1	DHX38
DDB1	CENPI	DDB1	CENPI
DDB1	ZFP91	DDB1	ZFP91
DDB1	RSF1	DDB1	RSF1
DDB1	RNF2	DDB1	RNF2
DDB1	CENPK	DDB1	CENPK
DDB1	CENPO	DDB1	CENPO
DDB1	SRRT	DDB1	SRRT
DDB1	WDR11	DDB1	WDR11
DDB1	RACGAP1	DDB1	RACGAP1
DDB1	CENPH	DDB1	CENPH
DDB1	CBX8	DDB1	CBX8
DDB1	CENPM	DDB1	CENPM
DDB1	SUPT16H	DDB1	SUPT16H
COBLL1	ZC3H13	COBLL1	ZC3H13
COBLL1	KIAA1429	COBLL1	VIRMA
COBLL1	PLPPR3	COBLL1	PLPPR3
COBLL1	CENPU	COBLL1	CENPU
COBLL1	CENPL	COBLL1	CENPL
COBLL1	NUP93	COBLL1	NUP93
COBLL1	SHCBP1	COBLL1	SHCBP1
COBLL1	DHX38	COBLL1	DHX38
COBLL1	CENPI	COBLL1	CENPI
COBLL1	ZFP91	COBLL1	ZFP91
COBLL1	RSF1	COBLL1	RSF1
COBLL1	RNF2	COBLL1	RNF2
COBLL1	CENPK	COBLL1	CENPK
COBLL1	CENPO	COBLL1	CENPO
COBLL1	SRRT	COBLL1	SRRT
COBLL1	WDR11	COBLL1	WDR11
COBLL1	RACGAP1	COBLL1	RACGAP1
COBLL1	CENPH	COBLL1	CENPH
COBLL1	CBX8	COBLL1	CBX8
COBLL1	CENPM	COBLL1	CENPM
COBLL1	SUPT16H	COBLL1	SUPT16H
ZC3H13	KIAA1429	ZC3H13	VIRMA
ZC3H13	PLPPR3	ZC3H13	PLPPR3
ZC3H13	CENPU	ZC3H13	CENPU
ZC3H13	CENPL	ZC3H13	CENPL
ZC3H13	NUP93	ZC3H13	NUP93
ZC3H13	SHCBP1	ZC3H13	SHCBP1
ZC3H13	DHX38	ZC3H13	DHX38
ZC3H13	CENPI	ZC3H13	CENPI
ZC3H13	ZFP91	ZC3H13	ZFP91
ZC3H13	RSF1	ZC3H13	RSF1
ZC3H13	RNF2	ZC3H13	RNF2
ZC3H13	CENPK	ZC3H13	CENPK
ZC3H13	CENPO	ZC3H13	CENPO
ZC3H13	SRRT	ZC3H13	SRRT
ZC3H13	WDR11	ZC3H13	WDR11
ZC3H13	RACGAP1	ZC3H13	RACGAP1
ZC3H13	CENPH	ZC3H13	CENPH
ZC3H13	CBX8	ZC3H13	CBX8
ZC3H13	CENPM	ZC3H13	CENPM
ZC3H13	SUPT16H	ZC3H13	SUPT16H
KIAA1429	PLPPR3	VIRMA	PLPPR3
KIAA1429	CENPU	VIRMA	CENPU
KIAA1429	CENPL	VIRMA	CENPL
KIAA1429	NUP93	VIRMA	NUP93
KIAA1429	SHCBP1	VIRMA	SHCBP1
KIAA1429	DHX38	VIRMA	DHX38
KIAA1429	CENPI	VIRMA	CENPI
KIAA1429	ZFP91	VIRMA	ZFP91
KIAA1429	RSF1	VIRMA	RSF1
KIAA1429	RNF2	VIRMA	RNF2
KIAA1429	CENPK	VIRMA	CENPK
KIAA1429	CENPO	VIRMA	CENPO
KIAA1429	SRRT	VIRMA	SRRT
KIAA1429	WDR11	VIRMA	WDR11
KIAA1429	RACGAP1	VIRMA	RACGAP1
KIAA1429	CENPH	VIRMA	CENPH
KIAA1429	CBX8	VIRMA	CBX8
KIAA1429	CENPM	VIRMA	CENPM
KIAA1429	SUPT16H	VIRMA	SUPT16H
PLPPR3	CENPU	PLPPR3	CENPU
PLPPR3	CENPL	PLPPR3	CENPL
PLPPR3	NUP93	PLPPR3	NUP93
PLPPR3	SHCBP1	PLPPR3	SHCBP1
PLPPR3	DHX38	PLPPR3	DHX38
PLPPR3	CENPI	PLPPR3	CENPI
PLPPR3	ZFP91	PLPPR3	ZFP91
PLPPR3	RSF1	PLPPR3	RSF1
PLPPR3	RNF2	PLPPR3	RNF2
PLPPR3	CENPK	PLPPR3	CENPK
PLPPR3	CENPO	PLPPR3	CENPO
PLPPR3	SRRT	PLPPR3	SRRT
PLPPR3	WDR11	PLPPR3	WDR11
PLPPR3	RACGAP1	PLPPR3	RACGAP1
PLPPR3	CENPH	PLPPR3	CENPH
PLPPR3	CBX8	PLPPR3	CBX8
PLPPR3	CENPM	PLPPR3	CENPM
PLPPR3	SUPT16H	PLPPR3	SUPT16H
CENPU	CENPL	CENPU	CENPL
CENPU	NUP93	CENPU	NUP93
CENPU	SHCBP1	CENPU	SHCBP1
CENPU	DHX38	CENPU	DHX38
CENPU	CENPI	CENPU	CENPI
CENPU	ZFP91	CENPU	ZFP91
CENPU	RSF1	CENPU	RSF1
CENPU	RNF2	CENPU	RNF2
CENPU	CENPK	CENPU	CENPK
CENPU	CENPO	CENPU	CENPO
CENPU	SRRT	CENPU	SRRT
CENPU	WDR11	CENPU	WDR11
CENPU	RACGAP1	CENPU	RACGAP1
CENPU	CENPH	CENPU	CENPH
CENPU	CBX8	CENPU	CBX8
CENPU	CENPM	CENPU	CENPM
CENPU	SUPT16H	CENPU	SUPT16H
CENPL	NUP93	CENPL	NUP93
CENPL	SHCBP1	CENPL	SHCBP1
CENPL	DHX38	CENPL	DHX38
CENPL	CENPI	CENPL	CENPI
CENPL	ZFP91	CENPL	ZFP91
CENPL	RSF1	CENPL	RSF1
CENPL	RNF2	CENPL	RNF2
CENPL	CENPK	CENPL	CENPK
CENPL	CENPO	CENPL	CENPO
CENPL	SRRT	CENPL	SRRT
CENPL	WDR11	CENPL	WDR11
CENPL	RACGAP1	CENPL	RACGAP1
CENPL	CENPH	CENPL	CENPH
CENPL	CBX8	CENPL	CBX8
CENPL	CENPM	CENPL	CENPM
CENPL	SUPT16H	CENPL	SUPT16H
NUP93	SHCBP1	NUP93	SHCBP1
NUP93	DHX38	NUP93	DHX38
NUP93	CENPI	NUP93	CENPI
NUP93	ZFP91	NUP93	ZFP91
NUP93	RSF1	NUP93	RSF1
NUP93	RNF2	NUP93	RNF2
NUP93	CENPK	NUP93	CENPK
NUP93	CENPO	NUP93	CENPO
NUP93	SRRT	NUP93	SRRT
NUP93	WDR11	NUP93	WDR11
NUP93	RACGAP1	NUP93	RACGAP1
NUP93	CENPH	NUP93	CENPH
NUP93	CBX8	NUP93	CBX8
NUP93	CENPM	NUP93	CENPM
NUP93	SUPT16H	NUP93	SUPT16H
SHCBP1	DHX38	SHCBP1	DHX38
SHCBP1	CENPI	SHCBP1	CENPI
SHCBP1	ZFP91	SHCBP1	ZFP91
SHCBP1	RSF1	SHCBP1	RSF1
SHCBP1	RNF2	SHCBP1	RNF2
SHCBP1	CENPK	SHCBP1	CENPK
SHCBP1	CENPO	SHCBP1	CENPO
SHCBP1	SRRT	SHCBP1	SRRT
SHCBP1	WDR11	SHCBP1	WDR11
